zone,front,side,rear,lot,frontage,height,footprint,far,far_cond,far_dup,sqft_max,min_min,parking
R-1,60,25,35,87120,200,35,0.25,0.25,,,,,2
R-2,60,15,30,43560,150,35,0.35,0.3,,,,,2
R-2A,60,15,30,30000,100,35,0.35,0.35,,,,,2
R-2B,50,10,20,28000,100,35,0.4,0.4,,,,,2
R-3,50,10,20,18000,100,35,0.4,0.4,,,,,2
R-3A,50,10,15,13500,85,35,0.45,0.45,,,,,2
R-4,35,7,15,9000,70,35,0.5,0.5,,,,,1
R-4A,30,7,15,7500,50,35,0.55,0.5,0.65,,3750,,1
R-4B,20,5,5,2800,40,35,0.85,0.75,0.9,,2100,,1
R-5,30,7,7,7500,50,35,0.55,0.5,0.65,0.6,3750,1800,1
RG-1,40,,,5000,,,,0.162,,,,,
RG-2,40,,,5000,,,,0.348,,,,,
RG-3,40,,,5000,,,,0.696,,,,,
RG-4,40,,,5000,,,,1.49,,,,,
RG-5,40,,,5000,,,,3.2,,,,,
RG-6,40,,,5000,,,,6.4,,,,,
MR-1,10,10,10,2000,25,35,,0.162,,,,,
MR-2,10,10,10,2000,25,35,,0.348,,,,,
MR-3,15,15,15,2000,40,80,,0.696,,,,,
MR-4A,15,15,15,2000,40,40,,1.49,,,,,
MR-4B,15,15,15,2000,20,52,,1.49,,,,,
MR-5A,20,20,20,5000,40,150,,3.2,,,,,
MR-5B,15,15,15,5000,40,150,,3.2,,,,,
MR-6,20,20,20,5000,40,225,,6.4,,,,,
